title,link,job_description,published,companyName,companyLocation
"Manager, Data Engineer, ML Architecture",https://in.indeed.com/rc/clk?jk=e9184c2252a62d7c&fccid=2973259ddc967948&vjs=3,"
This role serves as a technology SME for Data Analytics data engineers – supporting data ingestion and transformation.
",Posted8 days ago,PepsiCo,"Hyderabad, Telangana"
ML Engineer,https://in.indeed.com/rc/clk?jk=bc588123ee8c237f&fccid=6f3bec0198a39891&vjs=3,"
Work on end-to-end data science lifecycle: from building proof-of concept models to production-ready models & work with engineers to deploy them to production.
",Posted30+ days ago,Innofin Solutions Pvt. Ltd.,"Mumbai, Maharashtra"
Lead - ML Engineer,https://in.indeed.com/rc/clk?jk=3daa6dfbbc6bc8f9&fccid=bb95ccf807a8406a&vjs=3,"
This is a very inspiring role in Networks Digitization team where you will use your knowledge and/or experience in Data Science methodologies and apply them to…
",Posted30+ days ago,Airtel India,"Gurgaon, Haryana"
ML Engineer,https://in.indeed.com/rc/clk?jk=c68bc2f0d36268c4&fccid=98ef5f1ebbc3d261&vjs=3,"
Study and transform data science prototypes.
Research and implement appropriate ML algorithms and tools.
Develop machine learning applications according to…
",Posted30+ days ago,XenonStack,"Chandigarh, Chandigarh"
GEOSPATIAL ANALYST,https://in.indeed.com/rc/clk?jk=dd6e101ba10bed77&fccid=dd616958bd9ddc12&vjs=3,"
Collaborate with data scientists, and ML/AI engineers and work towards development of a product .
You will be working on developing agroecosystem modeling and…
",Posted9 days ago,Pixxel,"Bengaluru, Karnataka"
Traffic Microsimulation Engineer,https://in.indeed.com/rc/clk?jk=e51e398e388bbe77&fccid=a000d4e4766952a6&vjs=3,"
Building extremely accurate microsimulation models (SUMO) using data from industry partners, API's, IoT Ce, Edge servers and number of other sources.
",Posted5 days ago,ICAV Tech,"Remote in Bengaluru, Karnataka"
Big Data Engineer-AI/ML,https://in.indeed.com/rc/clk?jk=c53d61f99b10cad4&fccid=6ce9eba87609c3e9&vjs=3,"
You will be responsible for developing Data Analytics workflows driving Diagnostic, Prescriptive, and Predictive analytics.
",Posted29 days ago,Synopsys,"Bengaluru, Karnataka"
AI/ML Engineer (India),https://in.indeed.com/rc/clk?jk=5860ac8c1a996708&fccid=3fc3297f549a55e7&vjs=3,"
CoreStack enables enterprises to realize outcomes such as 40% decrease in cloud costs and 50% increase in operational efficiencies by governing operations,…
",Posted30+ days ago,CoreStack,"Chennai, Tamil Nadu"
MBOS_Application_Engineer _T8,https://in.indeed.com/rc/clk?jk=d9656e51f886900a&fccid=b25343f021fb51d7&vjs=3,"
The ideal candidate should have 4-6 years’ experience in working with Web applications in real time at scale, scripting (preferably in python) to interact with…
",Posted30+ days ago,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka"
Data and ML Ops Engineer,https://in.indeed.com/rc/clk?jk=0c7eed052298b3bd&fccid=a2faf1301ac6ad4b&vjs=3,"
Consumer Goods and Building Technology.
As Data and ML Ops Engineer, you will be responsible for building, testing, and maintaining database pipeline…
",Posted3 days ago,Bosch Group,"Bengaluru, Karnataka"
MLOps Engineer - QuantumBlack,https://in.indeed.com/rc/clk?jk=448df45e6e5f2dea&fccid=6576e7250aa78c3c&vjs=3,"
Develop and deploy technology that enables data scientists and data engineers to build, productionize and deploy machine learning models following best practice…
",Posted19 days ago,McKinsey & Company,"Gurgaon, Haryana"
Software Architecture AI/ML,https://in.indeed.com/rc/clk?jk=0ebfaaec2d3f658d&fccid=8ca698b22051956e&vjs=3,"
You can build and manage a group of 3-5 software engineers.
You can review and provide feedback on designs from other architects and engineers.
",Posted8 days ago,Amrusup Technologies,"Pune, Maharashtra"
Devops Engineer,https://in.indeed.com/rc/clk?jk=f2f933e2114ef9f0&fccid=9e215d88a6b33622&vjs=3,"
Recommend a migration and consolidation strategy for DevOps tools.
Design and implement an Agile work management approach.
Design a secure development process.
",Posted30+ days ago,Deloitte,"Hyderabad, Telangana"
"Cloud Engineer, AI/ML",https://in.indeed.com/rc/clk?jk=173bec364b81b819&fccid=6a7f2fa034a3fd36&vjs=3,"
Plan, scope, size, architect, design, prototype, and engineer solution components.
In this role the individual should have an acumen to pick up new technologies…
",Posted30+ days ago,GE Appliances,"Hyderabad, Telangana"
Lead QA,https://in.indeed.com/rc/clk?jk=9dd5b86b8fa9734c&fccid=0a4ad7ebd9b0c8ee&vjs=3,"
Work in tandem with release engineer, Co-ordinate until the build is deployed to production and do the appropriate post validation steps to complete the…
",Posted7 days ago,Assa Abloy,"Chennai, Tamil Nadu"
Senior Software Engineer,https://in.indeed.com/rc/clk?jk=9c64e69a1882bd0b&fccid=82656d64a9a3e6a7&vjs=3,"
A. Programming - Python & API - Rest API, FLASK, FAST API & Architecture - Microservices!
B. Workflows - Prefect, Argo or equivalent & Containerization -…
",Posted5 days ago,Ericsson,"Gurgaon, Haryana"
