title,link,job_description,published,companyName,companyLocation
,,"
Aligned Automation Based in the Pune, Maharashtra, India office.
Mid-Level Position based out of Pune (5-7 years).
5-7 years experience developing with Python.
",Posted30+ days ago,Aligned Automation,"Pune, Maharashtra"
,,"
Propose and implement solutions to address business challenges in predictive analytics.
Design and implement AI based use cases.
",Posted14 days ago,QMetry,"Ahmedabad, Gujarat"
,,"
As a Design Verification Engineer in the R&D Digital team at Silicon Labs, Hyderabad, you will play a key role in designing & verifying digital blocks,…
",Posted29 days ago,Silicon Labs,"Remote in Hyderabad, Telangana"
,,"
We are seeking an experienced engineer to drive Validation and Triage efforts.
� Developing and maintaining platform validation test case/plans and BKMs for…
",Posted7 days ago,Intel,"Bengaluru, Karnataka"
,,"
CSCP is responsible for strategic sourcing, customer demand forecasting, capacity planning and management, supply chain planning and execution, capacity…
",Posted30+ days ago,Microsoft,"Hyderabad, Telangana+1 location"
,,"
The role involves in identifying opportunities in internal processes where effective use of ML/AI and associated technologies can be made to provide solutions…
",Posted30+ days ago,EATON,"Hadapsar, Pune, Maharashtra"
,,"
The Risk Quantitative Development (RQD) model implementation team develops and manages features and enhancements to services that execute ML pipelines for fraud…
",Posted16 days ago,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana"
,,"
Provides security and wide array of reporting abilities for NOCC and our customers.
You will be creating a Big Data framework that helps us take focused…
",Posted1 day ago,Akamai,"Temporarily Remote in Bengaluru, Karnataka"
,,"
With the convenience of online shopping and delivery services for every type of business everywhere, shoppers are demanding the same frictionless experience…
",Posted30+ days ago,Zippin,Remote in India
,,"
The Risk Quantitative Development (RQD) model implementation team develops and manages features and enhancements to services that execute ML pipelines for fraud…
",Posted1 day ago,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka"
,,"
A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing data driven solutions.
",Posted16 days ago,Apptio,"Bengaluru, Karnataka"
,,"
Data scientist will join the Android Innovation & Experiences team based in Bangalore India, responsible for Global Android smart phone devices development,…
",Posted30 days ago,Lenovo India Private Limited,"Bengaluru, Karnataka"
,,"
You will own and deliver micro-architecture and RTL Design for one or more of the blocks working with all the stake holders from Architecture, Hardware,…
",Posted10 days ago,BLAIZE,"Hyderabad, Telangana"
,,"
This is an opportunity to develop optimized ML library for Xilinx's 7nm Versal devices targeting AI Engine cores.
",Posted30+ days ago,Xilinx,"Hyderabad, Telangana"
,,"
Implement and optimize Deep Neural Network Models for Image, Speech Processing Applications and NW Intrusion Detection Systems.
",Posted30+ days ago,Harman International,"Bengaluru, Karnataka"
,,"
It simplifies the way data teams monitor, observe, manage, troubleshoot, and optimize the performance and spend utilization of large-scale modern data…
",Posted6 days ago,Unravel Data,Remote in India
,,"
Direct management of a team of 5+ support engineers.
Managing a team of support engineers by providing them guidance on support procedures and keeping them…
",Posted30+ days ago,ADCI MAA 12 SEZ,"Chennai, Tamil Nadu"
,,"
Junior software engineer experienced in web development technology with at least 1 year of experience.
Candidates will need to be experienced in designing and…
",Posted30+ days ago,Openprise,"Hyderabad, Telangana"
,,"
O Work closely with data engineers and data analysts to help build ML- and statistics-driven data quality and continuous data monitoring workflows.
",Posted30+ days ago,Walmart Global Tech India,"Bengaluru, Karnataka"
,,"
Engineers will also work with modem software and firmware engineers to optimize or design drivers for new modem infrastructure.
,3+ years experience with API.
",Posted30+ days ago,Qcom,"Hyderabad, Telangana"
,,"
The Technology Reference Data team is seeking a Data Platform Engineer for our data lake house platform, which ingests, curates and makes available to our…
",PostedToday,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka"
,,"
Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages,…
",Posted23 days ago,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka"
,,"
Johnson & Johnson Enterprise Supply Chain’s Digital & Analytics group requires qualified, skilled and experienced data engineers who can handle large volumes of…
",Posted3 days ago,Johnson & Johnson,"Bengaluru, Karnataka"
,,"
Expected to be a role model for young engineers, have a strong sense of code quality and enforce code quality within the team.
",Posted30+ days ago,Tekion,"Chennai, Tamil Nadu"
,,"
Hitachi Solutions provides its customers with industry focus, software industry domain expertise, and proven tier-1 people.
",Posted30+ days ago,Hitachi Solutions Ltd,"Hyderabad, Telangana"
,,"
We are the Product Engineering group for Direct-2-Consumer business, and responsible for building video streaming Mobile & OTT applications for TVE/GO brands …
",Posted8 days ago,Discovery Communications,"Bengaluru, Karnataka+1 location"
,,"
Clojure Kotlin Scala R F# Node.js React Native ML Kafka Apache Spark DevOps React Vue.js.
Participate in a highly fluid environment applying agile software…
",Posted23 days ago,Ajira,"Chennai, Tamil Nadu"
,,"
Experience managing teams of software engineers through the entire development life cycle.
Must be able to work closely with other engineers and researchers on…
",Posted16 days ago,Microsoft,"Hyderabad, Telangana+1 location"
,,"
We build innovative data products and machine learning solutions for customers across the globe.
Well-versed in machine learning, large scale data processing /…
",Posted30+ days ago,Ankercloud,"Bengaluru, Karnataka"
,,"
Should have good knowledge of software usage and understanding of the Windows and Mac platform (Linux being a plus).
",Posted30+ days ago,Adobe,"Noida, Uttar Pradesh"
,,"
AI/ML for audio processing and language understanding (NLP/NLU) so that even less-literate people are able to perform sophistated functions through their mobile…
",Posted30+ days ago,Gram Vaani Community Media Pvt. Ltd.,"Temporarily Remote in New Delhi, Delhi"
,,"
To think along with clients and sell.
As Big Data Engineer, you will develop, maintain, evaluate and test big data solutions.
",PostedToday,IBM,"Bengaluru, Karnataka+3 locations"
,,"
Passion for working with and mentoring engineers.
Work multi-functionally with product managers, technical program managers, engineering managers and engineers…
",Posted30+ days ago,Bluecore,Remote
,,"
We have a relentless focus on driving results for our customers and enabling them to invest more into their customer care experience.
",Posted5 days ago,HGS,"Bengaluru, Karnataka"
Machine Learning Engineer,https://in.indeed.com/rc/clk?jk=ec32900bd0f0ed86&fccid=e064eb2c7274ff10&vjs=3,"
Train, help and mentor junior engineers in the team.
Collaborate with Data engineers, Data scientists/researchers and other ML Engineers on complex business…
",Posted30+ days ago,Frontdoor,"Pune, Maharashtra"
Vitis AI Software/Accelerators Development Engineer,https://in.indeed.com/rc/clk?jk=e3f086f75c4b9613&fccid=7ae83685be939814&vjs=3,"
Vitis AI/Vision development team is looking for experienced hardware engineers or software engineers with an exposure of hardware accelerators to assist in the…
",Posted30+ days ago,Xilinx,"Hyderabad, Telangana"
Software Development Engineer,https://in.indeed.com/rc/clk?jk=47ba93178d96d4de&fccid=3ce33f46b9648e84&vjs=3,"
Design, develop, modify, implement, and complete ownership & accountability for software modules.
Determine the root cause for the most complex software issues…
",Posted30+ days ago,Simplilearn Solution Pvt Ltd,"Bengaluru, Karnataka"
Machine Learning Engineer,https://in.indeed.com/rc/clk?jk=3ab7e0541ca68667&fccid=ceef42c635638fb6&vjs=3,"
Have demonstrated passion and enthusiasm for Machine Learning and Deep Learning through projects, products, etc.
",Posted30+ days ago,Mantras2Success consultants,"Hyderabad, Telangana"
Data Science Engineer,https://in.indeed.com/rc/clk?jk=5a0c1f9e56ded34e&fccid=859caa9dc0f7ee11&vjs=3,"
Provide end to end machine learning support for products.
Experiment with machine learning models to meet the necessary product requirements.
",Posted30+ days ago,Gainsight,"Hyderabad, Telangana"
Senior Performance Engineer - Chennai,https://in.indeed.com/rc/clk?jk=f0ca8a9d9bc98801&fccid=2ef7ebb4911abfb0&vjs=3,"
Creating and maintaining high quality artifacts(test scripts, test data, test reports).
Executing performance testing projects as part of large teams and as…
",Posted30+ days ago,Tekion,"Chennai, Tamil Nadu"
Data Engineer - Python and Devops,https://in.indeed.com/rc/clk?jk=06324cdde93beaca&fccid=7cb2f2a8d7f35bee&vjs=3,"
These technologies are deployed using DevOps pipelines leveraging Azure, Kubernetes, Jenkins and Bitbucket/Git.
Must have strong python ecosystem knowledge.
",Posted8 days ago,NielsenIQ,"Pune, Maharashtra"
BigData Engineer,https://in.indeed.com/rc/clk?jk=0e6fdc287473dff8&fccid=4b841d912d46e4fd&vjs=3,"
You will be part of high caliber project teams comprising of engineers with deep technical expertise and domain experience.
4-7 years of relevant experience.
",Posted30+ days ago,Luxoft,"Bengaluru, Karnataka"
Associate Engineer - BigData,https://in.indeed.com/rc/clk?jk=b7945502894501c0&fccid=003656df63cede32&vjs=3,"
Provides technical expertise, direction and support to engineers, architects, and project managers.
Diverse minds that work cross- functionally and broadly…
",Posted30+ days ago,AstraZeneca,"Chennai, Tamil Nadu"
QA Engineer,https://in.indeed.com/rc/clk?jk=ff2fd4119dabfb12&fccid=7f620185bfc7679a&vjs=3,"
Design & maintain quality test cases.
Functional and Non Functional testing.
4+ Years of experience in Software Testing.
Good salary and flexible hours.
",Posted30+ days ago,Klevu Oy,India
Software Development Engineer - MLE,https://in.indeed.com/rc/clk?jk=212c60d420a0e91a&fccid=fe2d21eef233e94a&vjs=3,"
2+ years of non-internship professional software development experience.
Programming experience with at least one modern language such as Java, C++, or C#…
",PostedToday,ADCI - Karnataka,"Bengaluru, Karnataka"
"R&D Engineer, Sr Staff",https://in.indeed.com/rc/clk?jk=1aec4283bb2b20f4&fccid=6ce9eba87609c3e9&vjs=3,"
You mentor engineers, developing their technical abilities.
Ability to motivate engineers, to arbitrate between conflicting demands, and to deliver quality…
",Posted30+ days ago,Synopsys,"Bengaluru, Karnataka"
Mts Software Engineer,https://in.indeed.com/rc/clk?jk=2b8c405746322277&fccid=77cec2f25f9bd7ed&vjs=3,"
Work collaboratively within a team of other engineers and have strong influencing skills.
The team also develops, modifies, and executes software test plans;…
",Posted21 days ago,NetApp,"Bengaluru, Karnataka"
DevOps Engineer,https://in.indeed.com/rc/clk?jk=f4d22b008c95b54c&fccid=4e42ec53f4b93e02&vjs=3,"
The DevOps Engineer – Security Enablement will design and implement a technical solution to monitor CH assets for compliance with cybersecurity requirements.
",Posted16 days ago,GSK,"Bengaluru, Karnataka"
Reinforcement Learning Engineer,https://in.indeed.com/rc/clk?jk=9ef1a1b466671627&fccid=3eff752ed276bdd2&vjs=3,"
1+ years of hand-on experience in AI research or application development specifically in Reinforcement Learning.
Very good python programming skills.
",Posted30+ days ago,Global Talent Pool,"Bengaluru, Karnataka"
Machine Learning - Senior Engineer,https://in.indeed.com/rc/clk?jk=81ba744992642ce8&fccid=dd616958bd9ddc12&vjs=3,"
The team uses Qualcomm chips’ extensive heterogeneous computing capabilities and engineers them to allow the running of trained neural networks on device…
",Posted30+ days ago,52 Qualcomm India Private Limited,"Hyderabad, Telangana"
"Growth: Organic Growth Engineer (SEO, Search Strategy)",https://in.indeed.com/rc/clk?jk=b28ce11053b55264&fccid=0869ef2a3dcb2e3b&vjs=3,"
We at DevRev believe that to efficiently connect developers to customers, we must harness the knowledge of engineers to build a knowledge-centric system, making…
",Posted30+ days ago,DevRev,"Bengaluru, Karnataka"
Technical QA Engineer,https://in.indeed.com/rc/clk?jk=ef3fb7151877dec4&fccid=998eb3a2dcb2ffd7&vjs=3,"
You will directly be associated with the core product and would get an exposure to work alongside thought leaders & domain experts.
BE/B.TECH or BE/B.
",Posted30+ days ago,Sequretek,"Bengaluru, Karnataka"
AI/ML engineering architect,https://in.indeed.com/rc/clk?jk=780daa1ccbbbbc7e&fccid=78bbcd26e39621f5&vjs=3,"
The incumbent will need to translate business requirements and cross-collaborate with data science, data engineers, ML Ops and technology teams to design…
",Posted15 days ago,Wells Fargo,"Bengaluru, Karnataka"
Crimson AI - DevOps Engineer,https://in.indeed.com/rc/clk?jk=f338d57a0970f43c&fccid=d9e3fe8ea6f90d37&vjs=3,"
Working closely with the engineering team to understand and support the infra operations.
Improve on the existing infrastructure processes of our entire product…
",Posted30+ days ago,Crimson Interactive,"Hybrid remote in Mumbai, Maharashtra"
Software Development Engineer II,https://in.indeed.com/rc/clk?jk=7c3e398e7d6cdf3c&fccid=fe2d21eef233e94a&vjs=3,"
2+ years of non-internship professional software development experience.
Programming experience with at least one modern language such as Java, C++, or C#…
",Posted30+ days ago,ADCI - Karnataka,"Bengaluru, Karnataka+1 location"
Senior Machine Learning Engineer,https://in.indeed.com/rc/clk?jk=cc343bdca834b3fd&fccid=e064eb2c7274ff10&vjs=3,"
Train, help and mentor junior engineers in the team.
Collaborate with Data engineers, Data scientists/researchers and other ML Engineers on complex business…
",Posted30+ days ago,Frontdoor,"Pune, Maharashtra"
Machine Learning Engineer - Deloitte AI Center of Excellence...,https://in.indeed.com/rc/clk?jk=52644d92c0c26509&fccid=9e215d88a6b33622&vjs=3,"
Deloitte’s Risk & Financial Advisory Services (Advisory) helps organizations effectively navigate business risks and opportunities — from strategic, reputation,…
",Posted30+ days ago,Deloitte,"Bengaluru, Karnataka"
Senior Software Engineer,https://in.indeed.com/rc/clk?jk=427dd5a2e2586f64&fccid=bebed66634806186&vjs=3,"
Responsible for designing, implementing, and maintaining SemiCab Platform Software.
Working in tandem with our business, product, and engineering teams to…
",Posted22 days ago,Playdawn Consulting,"Bengaluru, Karnataka"
Machine Learning Engineer,https://in.indeed.com/rc/clk?jk=892d4bdf8cf4fa28&fccid=d854ebb7e1a89211&vjs=3,"
ML Engineer will be responsible for delivering scalable, low latency, and high-performance Machine Learning solutions for different product use-cases.
",Posted30+ days ago,Linkites,"Indore, Madhya Pradesh"
Product Reliability Engineer,https://in.indeed.com/rc/clk?jk=11e9338c7212b2b2&fccid=52a44be6b2a7fecd&vjs=3,"
The product reliability engineer will provide leadership for the FTC Solar Quality & Reliability organizations to facilitate improvements in all aspects of…
",Posted30+ days ago,FTC Solar,"Chennai, Tamil Nadu"
Senior Machine Learning Engineer,https://in.indeed.com/rc/clk?jk=1443b3626ea2901f&fccid=10567e1c3e32f42c&vjs=3,"
The ideal candidate is experienced (3-5 years) in working on ML/NLP products, is naturally entrepreneurial, a hustler, and has excellent communication skills.
",Posted30+ days ago,Arbolus Technologies,"Gurgaon, Haryana"
Senior Security Operation Engineer,https://in.indeed.com/rc/clk?jk=b821ecbe3cd49f63&fccid=0a4ad7ebd9b0c8ee&vjs=3,"
Provide support and expertise to other systems and network engineers and administrators, and act as a backup or ""secondary"" for other areas of responsibility …
",Posted7 days ago,Assa Abloy,"Chennai, Tamil Nadu"
Software Engineer II,https://in.indeed.com/rc/clk?jk=24a162196d0ac092&fccid=1a8dd67b37dcdef8&vjs=3,"
We drive continuous re-architecture improving service latency, accuracy of content, service robustness, and cost-of-ownership.
Java or Scala or C++.
",Posted14 days ago,HERE Technologies,"Mumbai, Maharashtra"
Front-end Engineer,https://in.indeed.com/rc/clk?jk=52485898939259c1&fccid=fe2d21eef233e94a&vjs=3,"
You will work with cross-functional teams including UI/UX designers, machine learning scientists, product managers, and other software engineers.
",Posted30+ days ago,ADCI - Karnataka,"Bengaluru, Karnataka"
"Manager, Data & ML Engineering",https://in.indeed.com/rc/clk?jk=c44505f7eac1d6ca&fccid=234c1b426bdb9c0f&vjs=3,"
Lead a team of skilled engineers to build data pipelines and production level ML infrastructure in a fast-paced environment.
",Posted30+ days ago,Danaher Digital,"Bengaluru, Karnataka"
Offshore Development Software Engineer,https://in.indeed.com/rc/clk?jk=e13bb8ac1c5927c8&fccid=14bd964e2e71bb3b&vjs=3,"
: 2 to 5 Years of Relevant Experience.
: C, C++,Experience in Ms SQL Development, Good Knowledge in Angular JS.
",Posted30+ days ago,Symmetric Technologies,"Bengaluru, Karnataka"
MACHINE LEARNING DATA ENGINEER,https://in.indeed.com/rc/clk?jk=bde5f3a523f548d7&fccid=7e3f5a9736dee051&vjs=3,"
Work in a team of data scientists, project managers and process engineers to understand business requirements and assemble large, complex data sets accordingly.
",Posted14 days ago,Hella,"Pune, Maharashtra"
Data Scientist 2,https://in.indeed.com/rc/clk?jk=d06bb72a49213da7&fccid=ed2628577ca2cad6&vjs=3,"
Create forecasting and machine learning models by working along with business analyst, product managers and data analytics engineers in deriving insights.
",Posted21 days ago,Providence Global Center,"Hyderabad, Telangana"
Solutions Architect,https://in.indeed.com/rc/clk?jk=d3a0389a2d84e879&fccid=a5e7ca78da897d44&vjs=3,"
G)Provide technical leadership and mentorship to the tech leads and engineers in the company.
The Solutions Architect will be responsible for the overall…
",Posted30+ days ago,StockEdge,"Kolkata, West Bengal"
Senior Full Stack Engineer,https://in.indeed.com/rc/clk?jk=7b2067c7f77cd379&fccid=6280e0f77cd32f4f&vjs=3,"
Smarsh empowers its customers to manage the risk and unleash the intelligence in their digital communications.
Deploy and monitor the changes.
",Posted30+ days ago,Smarsh India,"Bengaluru, Karnataka"
Application Engineer,https://in.indeed.com/rc/clk?jk=cb1626b75deb2852&fccid=88c8c169cd0f64a4&vjs=3,"
Work with senior engineers to develop & implement CFD Deep Learning capabilities using Tensorflow/ Pytorch libraries.
Crucial involvement in product support.
",Posted22 days ago,Tridiagonal Solutions,"Pune, Maharashtra"
Software Development Engineer - I,https://in.indeed.com/rc/clk?jk=8d6bffc10d5ba32c&fccid=4f020f27ba4472b5&vjs=3,"
Implement the solution with minimal guidance after solutioning closure with senior engineers.
Communicate with various stakeholders (product, QA, senior…
",Posted9 days ago,DealShare.IN,"Gurgaon, Haryana"
Senior Engineer (RPA),https://in.indeed.com/rc/clk?jk=79dfbbd1c29184c0&fccid=4bdaf9b0f43f71da&vjs=3,"
Analyse business requirements and design & code automation workflows.
Participate in requirement assessment/solutioning and estimate along with technical lead…
",Posted2 days ago,AutomationEdge,"Mumbai, Maharashtra"
Engineering Director,https://in.indeed.com/rc/clk?jk=750aedf5ad221e49&fccid=f057e04c37cca134&vjs=3,"
The Director of Engineering partners with product owners, technology leaders, and engineers to develop roadmaps, design and implement cutting edge technology…
",Posted3 days ago,Amex,"Bengaluru, Karnataka"
Robotic Process Automation Engineers,https://in.indeed.com/rc/clk?jk=45c847a175f2c0f0&fccid=363d27976f5fa667&vjs=3,"
We are seeking an RPA Developer with 2+ years experience to assist with the delivery of robotic and intelligent automation solutions within the Commercial…
",Posted6 days ago,ION,"Mumbai, Maharashtra"
"AI Engineer – Engineering Team, India (Pune)",https://in.indeed.com/rc/clk?jk=54ee9f9494041005&fccid=a1a5f6c33c45f989&vjs=3,"
QiO Technologies is looking for an ambitious AI engineer who has experience solving Industrial business problems using data science principles and creating…
",Posted22 days ago,QiO Technologies,"Temporarily Remote in Pune, Maharashtra"
Senior Software Research Engineer,https://in.indeed.com/rc/clk?jk=368b3232adc3e925&fccid=936367796261bd6e&vjs=3,"
Your work will span solution exploration, technical design, implementation, deployment in a production environment, and maintenance of the deployed solutions.
",Posted6 days ago,Intel,"Hybrid remote in Bengaluru, Karnataka"
Software Development Engineer,https://in.indeed.com/rc/clk?jk=8e4084a2931a4b18&fccid=f89deb5a97c7738a&vjs=3,"
You will be a key player in designing, coding and building features of the product designed to meet new gen requirements.
8+ years writing production code.
",Posted30+ days ago,Adobe,"Bengaluru, Karnataka"
"Manager, Applied Science",https://in.indeed.com/rc/clk?jk=28be95ea76e6c62a&fccid=fe2d21eef233e94a&vjs=3,"
1+ years of experience in managing, mentoring and leading a technical development team including applied scientists and software engineers.
",Posted13 days ago,ADCI - BLR 14 SEZ,"Bengaluru, Karnataka"
Senior Software Engineer (Python Developer),https://in.indeed.com/rc/clk?jk=012b85f54e9f182b&fccid=154ba50a8fca4d5c&vjs=3,"
Ability to work collaboratively within a team environment of other engineers to meet aggressive goals and meet high quality standards.
",Posted30+ days ago,Nissan,"Thiruvananthapuram, Kerala"
Engineering Manager,https://in.indeed.com/rc/clk?jk=2a76468aceb50c0e&fccid=6ffb9b2183d2d206&vjs=3,"
You bring a strong perspective that drives change and motivates engineers to develop simple solutions to complex problems.
",Posted30+ days ago,Vymo,"Bengaluru, Karnataka"
NLP Scientist,https://in.indeed.com/rc/clk?jk=02effc46f9660cc8&fccid=6fa886e37fb4f534&vjs=3,"
To succeed in this role, you should possess outstanding skills in statistical analysis, machine learning methods and text representation techniques.
",Posted30+ days ago,StratLytics,"Bhubaneshwar, Orissa"
Software Lead Engineer,https://in.indeed.com/rc/clk?jk=c7a65d81c06e2281&fccid=0a4ad7ebd9b0c8ee&vjs=3,"
Software engineer with experience in building web applications using Django framework and Java technology.
Collaborate with fellow engineers to find elegant,…
",Posted7 days ago,Assa Abloy,"Chennai, Tamil Nadu"
Programmer Analyst,https://in.indeed.com/rc/clk?jk=641cf60b31468871&fccid=2df6a1e69a70a1e7&vjs=3,"
The engineer should be an expert in Python development and have an intermediate or above knowledge of R. The engineer should have a good understanding of model…
",Posted5 days ago,Cognizant,"Coimbatore, Tamil Nadu"
Full Stack Developer,https://in.indeed.com/rc/clk?jk=ff5af0b82da21e02&fccid=fac92987599fe860&vjs=3,"
Qualification: Bachelor’s or Master’s in Engineering.
Develop full stack applications that are scalable, robust, and thoughtfully designed.
",Posted30+ days ago,AllGoVision Technologies,"Bengaluru, Karnataka"
Senior Engineer Tapeout Engineering,https://in.indeed.com/rc/clk?jk=5a35d8367f315dc4&fccid=6a2e5a5f89491e88&vjs=3,"
The successful candidate will work with 100% quality and minimal cycle time in mind.
This role requires a close working relationship and collaboration with…
",Posted30+ days ago,GLOBALFOUNDRIES,"Bengaluru, Karnataka"
Database Engineer,https://in.indeed.com/rc/clk?jk=4e69f37fd7606f54&fccid=a9e4a95ed9b23c24&vjs=3,"
Designing tables and ensuring their stability, reliability, and performance.
Develop database schemas, tables, and dictionaries.
",Posted30+ days ago,Xento,"Pune, Maharashtra"
Dotnet Developer - Solution Advisor,https://in.indeed.com/rc/clk?jk=55da55de7f72bf1f&fccid=9e215d88a6b33622&vjs=3,"
Analyze and implement user requirements/business needs as new and/or enhanced product functionality.
Design, code, test, and document software code.
",Posted30+ days ago,Deloitte,"Bengaluru, Karnataka"
Sr. Front End Engineer,https://in.indeed.com/rc/clk?jk=2c0191341ff53a1e&fccid=70687d47d3cdf42e&vjs=3,"
As a Front-End Software Engineer, you will be involved in design, development, coding, customization, configuration, testing, and deployment in support of…
",Posted30+ days ago,Ingram Micro,"Chennai, Tamil Nadu"
Sr Software Engineer - Discovery Team,https://in.indeed.com/rc/clk?jk=1393902e6b3a82c6&fccid=f766f8bfbc3effb7&vjs=3,"
Experience influencing software engineers best practices within your team.
The group owns and operates business critical backend services, search engines,…
",Posted2 days ago,Uber,"Hyderabad, Telangana+3 locations"
Lead AI Engineer,https://in.indeed.com/rc/clk?jk=262c18bdfae4e02d&fccid=15f43d82dc901ff2&vjs=3,"
Mentor and partner with other engineers to develop software that meets business needs.
Join Target’s Artificial Intelligence team to shape the future of retail.
",Posted30+ days ago,TARGET,"Bengaluru, Karnataka"
AI Engineer,https://in.indeed.com/rc/clk?jk=10a9556321de05ea&fccid=4b086a41e17c5948&vjs=3,"
Looking for people who can detect not only signal, but also noise, outliers, and music in their data.
You'd create data sets, extract features, train and deploy…
",Posted30+ days ago,Bobble AI,"Kathivakkam, Chennai, Tamil Nadu"
Senior/Lead Engineer - ME Automation,https://in.indeed.com/rc/clk?jk=abf8ddd7fd904e2c&fccid=116680a29a847a70&vjs=3,"
Propose and implement high-impact data and analytic solutions that address business challenges across a variety of manufacturing business units.
",Posted2 days ago,General Motors,India
Senior Software Engineer - Smart Streaming Video Solutions,https://in.indeed.com/rc/clk?jk=b5457327d4281e33&fccid=7ae83685be939814&vjs=3,"
Ability to work collaboratively with other engineers and have strong influencing and leadership skills.
As a Sr Software Engineer 2, you will contribute and…
",Posted30+ days ago,Xilinx,"Hyderabad, Telangana"
,,"
Desire to work with a variety of frameworks and UX design systems and has a passion for building elegant backends and beautiful frontends.
",Posted24 days ago,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka"
,,"
We set the company’s strategy and technology vision, offer an unparalleled research foundation for innovation, and provide critical support infrastructure for…
",Posted30+ days ago,NOKIA,"Bengaluru, Karnataka"
,,"
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…
",Posted20 days ago,IBM,"Bengaluru, Karnataka"
,,"
Should have minimum 8+ years of Development/system Architect experience ( 8years – 15years will be fine ).
Good Knowledge on AI/ML related technology.
",Posted30+ days ago,Firstsource Healthcare,"Chennai, Tamil Nadu"
,,"
We are looking for dynamic and skilled Innovators who will be part of Intel's Global IoT Software and Systems Team, responsible for architecting, designing and…
",Posted7 days ago,Intel,"Hybrid remote in Bengaluru, Karnataka"
,,"
These include development and support of business functions that underpin our financial accounting and decision making for global CFO Orgs, and we implement…
",Posted6 days ago,Fidelity International,"Gurgaon, Haryana"
,,"
Fasten your helmet and climb on board if you're ready to be our next Machine Learning Engineer.
You’ll focus your efforts on deploying and maintaining machine…
",Posted30+ days ago,GO-JEK,"Bengaluru, Karnataka"
,,"
You will collaborate with Data Scientists, ML Engineers, Data engineers and expert users to build and deploy scalable AI/ML solutions that drive value and…
",Posted30+ days ago,Micron,"Hyderabad, Telangana"
,,"
Engineering Group, Engineering Group > Systems Engineering.
As a hands-on ML Test and Automation Engineer, you will be responsible for improving efficiency and…
",Posted30+ days ago,Qcom,"Bengaluru, Karnataka"
,,"
Develope user workflows for aerospace and engineering domain in Hyperworks.
Project requires strong C++, scripting knowledge and debugging skills and good…
",Posted30 days ago,Altair Engineering,Orissa
,,"
About the Role: Intel Foundry Services is looking for design engineers to benchmark power, performance, and area (PPA) for Foundry process technology nodes on…
",Posted14 days ago,Intel,"Hybrid remote in Bengaluru, Karnataka"
,,"
Work on end-to-end data science lifecycle: from building proof-of concept models to production-ready models & work with engineers to deploy them to production.
",Posted30 days ago,TVS Next,"Hybrid remote in Bengaluru, Karnataka"
,,"
Senior Software Engineer will use his/her passion and expertise for creating world-class products.
He/she will collaborate with the product and engineering…
",Posted30+ days ago,Tekion,"Chennai, Tamil Nadu"
,,"
The candidate will be responsible for developing AI/ML models for the testbench to improve the turnaround time and increase verification efficiency by…
",Posted30+ days ago,Intel,"Hybrid remote in Bengaluru, Karnataka"
,,"
It is a hard software problem to generate an efficient solution with a balance of performance, power and area and with a watch on time-to-market!
",Posted30+ days ago,Arm,"Bengaluru, Karnataka"
,,"
Lead analytic approaches, integrating work into applications and tools with data engineers, business leads, analysts and developers.
",Posted30+ days ago,Cyient,"Hyderabad, Telangana"
,,"
Ensure the software release quality through activities including monitoring and approving software process execution.
Learns to use professional concepts.
",Posted30+ days ago,Samsung Electronics,"Bengaluru, Karnataka"
,,"
Supply chain analytics group is responsible for delivering the solutions and developing the capabilities which enables better decision-making in supply chain.
",Posted30+ days ago,General Mills,"Remote in Mumbai, Maharashtra"
,,"
Working in a collaborative team environment with other QA engineers.
The position requires the ability to work with engineers to understand the system…
",Posted30+ days ago,SiMa Technologies,"Bengaluru, Karnataka"
,,"
Wells Fargo is seeking a Senior Systems Operations Engineer...
Deliver day-to-day Application/Platform support services for AI/ML/NLP Platforms.
",Posted30+ days ago,WELLS FARGO BANK,Telangana+1 location
,,"
Responsible for UI development of Cloud based Software Application.
Decompose Tier 3 System requirements into Tier 4 Software requirements for the identified…
",Posted2 days ago,BOEING,"Chennai, Tamil Nadu"
,,"
Uses predictive modeling, statistics, Machine Learning, Data Mining, and other data analysis techniques to collect, explore, and extract insights from structure…
",Posted17 days ago,McAfee Enterprise,"Bengaluru, Karnataka"
,,"
OptiSol a full services digital solution partner for Start-ups and Enterprises worldwide.
Overall knowledge in AWS and Azure and Google cloud environment.
",Posted30+ days ago,OptiSol,"Chennai, Tamil Nadu"
,,"
Mentor and coach a team of talented engineers fostering a culture of openness, collaboration.
It pervades wide and deep into their systems affecting core…
",Posted30+ days ago,Agara Labs,"Bengaluru, Karnataka"
,,"
We are looking for a Senior Data Engineer to build next generation analytics and reporting platform.
The successful candidate will be a well-rounded data…
",Posted2 days ago,Visa,"Bengaluru, Karnataka"
,,"
We are a SaaS provider of rich video and speech data capture and analytics within the workflows of large field workforces (field engineers, field service,…
",Posted8 days ago,Vyntelligence,"Gurgaon, Haryana"
