job_link,job_title,company_name,city,state,posted_on,job_description,source,excel,python,ML,SQL,R_language,statistics,NLP,BI tools
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXGIcWOIZviKUySXr1hfCvaS5huJdOK7NFGqwlhh69NjVk_OghEFwbfbWP0S0Fru2F0ZptHuMsq7OHulca9Iz-iXXhb4QwxcF20ExOTlZcXWTKW5B-Po7vDQqXL3HDDUXrrHGmWOI-4FHx7cuV_bZIhLlIXYxGIZuUr0AwNElsNHAR26YutBesDc4vayTc7iOZVnElmsSSUZ2eTzZC-0WkHqMpp9Z7riBgjWJgbSlqutxGLoeMrB91JgFtzNgC0L-fw0Z7fR50keyYrgOAqaUS8WSB_zn0CQFDJ00RHZqGh67X5go_1Kkb5_l-AzFBQ83s6dLwVPJcOjv712WWDaTir4b73UKXhkktiqriTAMb76z1tEbO5QTte2FX2TZoDI1hBsaFQDdOkpI4v-lrdfgSQqPZmHjI4zrYcMlMSGg9L7gNrON3Cq-3ucxBLfxDySMGhNoV6O3Q22t8KH-3uocR&p=1&fvj=1&vjs=3,Web Analyst,NxtWave Disruptive Technologies Private Limited,"Hyderabad, Telangana",Telangana,30+ days ago,"Processing confidential  and information according to guidelines.,data,Advanced  visualization skills using tools like  Studio.,data,Data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXGIcWOIZviKUySXr1hfCvaS5huJdOK7NFGqwlhh69NjVk_OghEFwbZ_qBrrVELoUjmf_Vr7rWVQJ5PVA8c1ncsy0a6c64_PKnKI7e0zLzm_7KhOdjjNaoMlZKl9K9_XTxGZMt-g7gWx8AW6NMoUA8X51Bziw45bn4UWutEfz8l5D12dtOCbDyRGCZkV7D20NqFdoRIZjlYCUSdxQpOGIoNzJkLog_2RxmuNCb0uBV4gFAV0Ff7OvkQN9hvnJbu5lfUopsz_VY1rGoTypcZ9kB-GvDxMGBz7Q-FnOdGh7jF7YjwAp2piW5GuHLmbPa_atoJJH4Gct7U7TeY4p7bNYynKX0QSLdk5c6TJ7vvhuyRxcuFwTWsVxyewDWO8UPMArpjLVnvbzQy5ovE_F0yfTHn9_VMwkWS6MWNEZ6X15XvDFG-ATF52GmKYAzZ3H33aaPOwS0dRcXY1aQC7ylSpeS&p=4&fvj=1&vjs=3,Data Analyst,NxtWave Disruptive Technologies Private Limited,"Hyderabad, Telangana",Telangana,30+ days ago,"Processing confidential  and information according to guidelines.,data,Able to suggest  collection methods for better analysis.,data,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZ0tHpsfO-9ZONp2EZzsjO6cv0viEfImHdSV-4BontD-6PhXDnz1nDJw85-q_ypPVc4QcrySUfInjdw4XY29MoHjI7vorbtY7h2nPXcGJfPzaL8D76ELBC-zYwQ5tKVGiS2Tk0S6hJFeSJ430E2nYDoKzptBgQ5JIDMMkAysBW03ByDuaDUkv8AaDna56kf01vNnYjM0_OTec07w1eQ90C3_i90oBIeSydwiwq8oLQ7c3Rt3TvXuml29I-8B2TBSO0KTMaGmCxePEqv5_3kElvHn4NCOtZD5UhsqFJYBtTJqeePElECrrQqCQu8G4LAzmDyERewigNJypRATxx489Id0Ly7Vn-OTzZ9wVFGS-G8IhM1sEwm7vRXgAGkJTtdUb4QI8OH5vfyq-itjBnCZFCK3aT4x_J_XxWgchbEGKTFFfsv64RuLuVLEd1TEvZoYSGTOjRc2BXGFv2GU5ZX1QB&p=7&fvj=1&vjs=3,Analyst,Clear Nexus,"Bengaluru, Karnataka",Karnataka,Active 4 days ago,"Financial  or   within a CSR company is a plus.,analyst,data,analyst,We need a person that's naturally analytical and inquisitive, capable of running analysis on…",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPRcFD8ZKATGvRw05IQu5p6rJAFg1lleNSqaHqOOS3l9GXYymU38PLHzij4bMuPcWx9fqmvT3Z7lnPtMlQpBOQY8HJzc647YE4TeGbcGdmr6ItF8ajqM2uuLG18vRgxN0KuI3Y95j45aK6UjK21Da9eqpy1t-qyS75VyzGQh4wioTXppoPc5h6YXJHLLmZkEwoXUVBrjyFzX7FOwvgr4W-EIGI9jQ72dastmfRN3bmb76S_n1kASbX_uRZ8ZGfa7bcdWnzXQiNjMej6Q9iCgbKE_vLm6Zh_Mv5S686bf3xGXcr5_QsTQmFYR4VjBdHwyaA_X8qDd1tZ355lD4pQ4tXwJSYP-c3EKanKWUb25cI35nDlRh-hj4omBrq1WjwovFasweHl5NtiWIopGsNhrg4klHSnnZNfy2-YBbeCTh77IImNOxzYL8GMNNIUG3npkfopn2Qzp3VUjQ596xtJtaW&p=9&fvj=1&vjs=3,Product Analyst,Mygate,"Temporarily Remote in Bengaluru, Karnataka",Karnataka,Active 1 day ago,"Own the implementation of  collection and tracking with help from the engineering and product teams to ensure we collect  in the right way.,data,data,missing,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/company/Ideas-At-Scale/jobs/Data-Analyst-Manager-0258b63f4e0cdf21?fccid=685b310421b2c19a&vjs=3,Data Analyst Manager,Careervira,"Gurgaon, Haryana",Haryana,Active 3 days ago,"Recruit, train, develop and supervise  analysts.,data,Build, develop and maintain  models &  automation systems.,data,data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/rc/clk?jk=6fed21c3a4773076&fccid=6b14176a0fb03101&vjs=3,Data Insights Analyst,Clearstate Pte. Ltd,"Gurgaon, Haryana",Haryana,12 days ago,"Experience working with  from multiple  systems and databases.,data,data,Ability to examine  critically to extract meaningful insights.,data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bda-EECsaSsjOx4eU9qFI_wUvDhVlIGuxDSBQHt4OhFwgvsziQ4XboIqBUqT1p9RHfj01BHgvmvKQzKoziOQ0ZK39CtsKHUJ3LCyK5vzZlRFHMaMzyR8px9eNu_qfLWMCpk5bGVUce5SCFMtmtpTlQ3YaOgBP-jc89XkTivqC_C572U0GLCEXfwICCVltlL6enKzngMrTYvCXscflygAl6pi1TixuVLky_Cr1BipNuNp4LhfCXt-QuOg_u6Fi_p7oS-MAXiN7jZv3yo-VlImCIZnXALOUpMQtpbjL0fQAvpKWZGsu86NHBCiZqRLfh-KA_UyakAU1B-QeTrgTQrefNnEmitidkU7WfejT-E9OhVZhLAUU3tHvb11BiNdFIdkPG7OL8IShIvox0A5EPZjg-I3uIB6d9JLRoPCWA-oNYBSi-urDFg3fZPpgGFBCHezNFLPkYLLEEHteiX45HZFnEdkfXr8RAi-bFEdiPUjEsZw==&p=0&fvj=1&vjs=3,Business Systems Analyst - SQL,NUKG Business Solutions,"Temporarily Remote in Hyderabad, Telangana",Telangana,Active 14 days ago,"Perform system configuration updates and scripted  updates.,data,Work on complex issues where analysis of situations or  requires an in-depth evaluation of…,data,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXGIcWOIZviKUySXr1hfCvaS5huJdOK7NFGqwlhh69NjVk_OghEFwbfbWP0S0Fru2F0ZptHuMsq7OHulca9Iz-iXXhb4QwxcF20ExOTlZcXWTKW5B-Po7vDQqXL3HDDUXrrHGmWOI-4FHx7cuV_bZIhLlIXYxGIZuUr0AwNElsNHAR26YutBesa4RuKyLbQIiDxEb_rtKmL6dTdtuHplqzI4ZjHMKTqX2M0jvE8GWXXqQbyMJ4_2D359png6r7Wgr2Rdb0EIYQLddih5_N6o9GHC0sufzyCqMkyZcaxIoG7k28O-ajJkPoVzAOVcaakCCSei3HVZWEZiK9qQd5GF9oKPhfFTbOFpohG2Hn-d2iTDe8GX4rlzJ__LA_ovEdEj1xmYyDiRz7NSq1nFPLJ4KvcnmhV-syfqU_s4sCrBeJ6Q9QWLh-KWui9ZpOp71780ejCWdU2XWkW6W-DzZpVTwc&p=1&fvj=1&vjs=3,Web Analyst,NxtWave Disruptive Technologies Private Limited,"Hyderabad, Telangana",Telangana,30+ days ago,"Processing confidential  and information according to guidelines.,data,Advanced  visualization skills using tools like  Studio.,data,Data",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AXGIcWOIZviKUySXr1hfCvaS5huJdOK7NFGqwlhh69NjVk_OghEFwbZ_qBrrVELoUjmf_Vr7rWVQJ5PVA8c1ncsy0a6c64_PKnKI7e0zLzm_7KhOdjjNaoMlZKl9K9_XTxGZMt-g7gWx8AW6NMoUA8X51Bziw45bn4UWutEfz8l5D12dtOCbDyofZsm1fuRnxEBpBvGoC-4AajeZq3LtCFP4YZu_9srySB-gjxZ-v8_DueUWY1Fmksapo6ACz9dp4O-SzUimG6fszU899gW2bYvStZ-BOFlQt3tO-LJxDoL6xYHsyHpk5xInY8rbywomaBLHymknReXMkBWgogTpZdaryZrrHGROhaMTsVcJWutHdcKnYuT65CgTOmIvKzg81xa3Qkx1Dri-u6iHv-oTJj5IWuHOXY22JSFjWgJiT_xOrwQaPgvVII9Xs4lbg6aP18S0XRTMPC6mlRzagvB6gL&p=4&fvj=1&vjs=3,Data Analyst,NxtWave Disruptive Technologies Private Limited,"Hyderabad, Telangana",Telangana,30+ days ago,"Processing confidential  and information according to guidelines.,data,Able to suggest  collection methods for better analysis.,data,missing",Indeed,0,0,0,0,0,0,0,0
https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZ0tHpsfO-9ZONp2EZzsjO6cv0viEfImHdSV-4BontD-6PhXDnz1nDJw85-q_ypPVc4QcrySUfInjdw4XY29MoHjI7vorbtY7h2nPXcGJfPzaL8D76ELBC-zYwQ5tKVGiS2Tk0S6hJFeSJ430E2nYDoKzptBgQ5JIDMMkAysBW03ByDuaDUkv8FJI7hOTSy99xyxxFxrVFnACxpiO69S5G2igBB7tgyquly2WXFe9eB_4nEEnWA7ChaQUfLlHo7ilBxwRIWeUH8XXsiyPdhStObexalQNn5AFjsc8XDAPWAO7oQQXxipbqhGcYx2Ty3EHR60rPJ7Sg4WGHMp0VWvxkmJsb7ZJSw6feOWRdWbARVJ6tT8AZ9GA1fUFpyWnEuzKGA9WJE04OB9kWz8G7-FrhRgnmNJnj8SNPPv6gfOYAFSQEnMMTYe7qQHOC4tSTRRAhVA_BLqlLBVmXF93JTQD-&p=7&fvj=1&vjs=3,Analyst,Clear Nexus,"Bengaluru, Karnataka",Karnataka,Active 4 days ago,"Financial  or   within a CSR company is a plus.,analyst,data,analyst,We need a person that's naturally analytical and inquisitive, capable of running analysis on…",Indeed,0,0,0,0,0,0,0,0
